2,2,19,5.6610488670e-16,1.4043333874e-15
4,4,15514,4.4515459602e-13,4.0996530222e-13
6,6,14951059,2.6189133023e-10,1.2883031376e-10
8,8,15257575516,3.5398446689e-07,3.8628224721e-07
10,10,16024868379056,2.5639289838e-04,4.7875286566e-04
12,11,17341930983785612,2.1237698492e-01,8.1189912224e-02
14,11,606112400617362944,1.2526338443e+01,3.2358759026e+01
16,12,349852764706491712,9.3766867751e+00,1.4417879330e+01
18,12,1019021037262710272,1.1507055329e+01,2.2290147923e+01
20,13,2538249638229771264,2.3371169397e+01,5.2884810080e+01
